Florida Gulf Coast University,FGCU,fgcu.edu
Florida International University,FIU,fiu.edu
Foothill College,Foothill,foothill.edu
Fresno Pacific University,FPU,fresno.edu fpuathletics.com
"California State University, Fresno",Fresno State,fresnostate.edu
Fayetteville State University,FSU,uncfsu.edu
Ferris State University,FSU,ferris.edu
Fitchburg State University,FSU,fitchburgstate.edu
Florida State University,FSU,fsu.edu
Framingham State University,FSU,framingham.edu
"California State University, Fresno",FSU,fresnostate.edu
Frostburg State University,FSU,frostburg.edu
Fordham University,FU,fordham.edu
,FU
Furman University,FU,furman.edu
,FU
University of Wisconsin–Green Bay,GB,uwgb.edu
Georgia College & State University,GC&SU,GCSU,gcsu.edu
Grand Canyon University,GCU,gcu.edu
Georgia College & State University,Georgia College,gcsu.edu
Georgia Institute of Technology,Georgia Tech,gatech.edu
Georgia Gwinnett College,GGC,ggc.edu
George Mason University,GMU,gmu.edu
Gonzaga University,GONZ,gonzaga.edu
Georgia Southern University,GSU,georgiasouthern.edu
Georgia State University,GSU,gsu.edu
Grambling State University,GSU,gram.edu
Georgia Southern University,GSU,georgiasouthern.edu
Georgia Institute of Technology,GT,gatech.edu
Grand Valley State University,GVSU,gvsu.edu
George Washington University,GW,GWU,gwu.edu
Gardner Webb University (page does not exist),GW,GWU
Hampton University,HIU,hamptonu.edu
Harvey Mudd College,HMC,hmc.edu
Johns Hopkins University,Hopkins,jhu.edu
Howard University,HU,home.howard.edu
Hampton University,HU,hamptonu.edu
Humboldt State University,HSU,humboldt.edu
Ithaca College,IC,ithaca.edu
Illinois Institute of Technology,IIT,web.iit.edu
Indiana University-Purdue University Fort Wayne,IPFW
Idaho State University,ISU,isu.edu
Illinois State University,ISU,illinoisstate.edu
Indiana State University,ISU,indstate.edu
Iowa State University,ISU,iastate.edu
Indiana University Bloomington,IU,IUB,indiana.edu
Indiana University of Pennsylvania,IUP,iup.edu
Indiana University-Purdue University Indianapolis,IUPUI,iupui.edu
Illinois Wesleyan University,IWU,iwu.edu
Iowa Wesleyan University,IW,iw.edu
Johns Hopkins University,JHU,jhu.edu
James Madison University,JMU,jmu.edu
Johnson and Wales University,JWU,jwu.edu
Jackson State University,JSU,jsums.edu
Jacksonville University,JU,ju.edu
Kansas State University,K-State,k-state.edu
Kansas State University,KSU,k-state.edu
Kennesaw State University,KSU,kennesaw.edu
Kent State University,KSU,kent.edu
Kentucky State University,KSU,kysu.edu
University of Kansas,KU,ku.edu
Louisiana Tech University,LA Tech,latech.edu
Louisburg College,LC,"louisburg.edu
"
Lock Haven University,LHU,lockhaven.edu
Long Island University,LIU,liu.edu
Lincoln Memorial University,LMU,lmunet.edu
Loyola Marymount University,LMU,lmu.edu
"California State University, Long Beach",Long Beach State,csulb.edu
La Salle University,LSU,lasalle.edu
Louisiana State University,LSU,lsu.edu
Lake Superior State University,LSSU,lssu.edu
Lawrence Technological University,LTU,ltu.edu
Lawrence Tech,LTU,ltu.edu
Liberty University,LU,"liberty.edu
"
Lipscomb University,LU,lipscomb.edu
Lehigh University,LU,lehigh.edu
Loyola University Chicago,LUC,luc.edu
James Madison University,Madison,jmu.edu
University of Wisconsin–Madison,Madison,wisc.edu
University of Mary Washington,Mary Wash,umw.edu
George Mason University,Mason,gmu.edu
Massachusetts College of Liberal Arts,MCLA,mcla.edu
University of Memphis,Memphis,memphis.edu
