Brigham Young University Hawaii,Laie,byuh.edu
Bryant University,Bulldogs,Smithfield,bryant.edu
Brooklyn College,Bulldogs,Brooklyn,brooklyn.cuny.edu
Broward College,Seahawks,Fort Lauderdale,broward.edu
Brown University,Bears,Providence,brown.edu
Bucknell University,Bison,Lewisburg,bucknell.edu
Buena Vista University,Storm Lake,bvu.edu
"University at Buffalo, The State University of New York",Bulls,Buffalo,buffalo.edu
Buffalo State College,Bengals,Buffalo,suny.buffalostate.edu
Butler University,Bulldogs,Indianapolis,butler.edu
Cabrini College,Cavaliers,Radnor,cabrini.edu
"University of California, Berkeley",Golden Bears,Berkeley,berkeley.edu
"University of California, Davis",Aggies,Davis,ucdavis.edu
"University of California, Irvine",Anteaters,Irvine,uci.edu
"University of California, Merced",Golden Bobcats,Merced,ucmerced.edu
"University of California, Riverside",Highlanders,Riverside,Palm Desert,ucr.edu
"University of California, San Diego",Tritons,San Diego,ucsd.edu
"University of California, Santa Barbara",Gauchos,Santa Barbara,ucsb.edu
"University of California, Santa Cruz",Banana Slugs,Santa Cruz,ucsc.edu
"University of California, Los Angeles",Bruins,Westwood,ucla.edu
California Lutheran University,Kingsmen,Regals,Thousand Oaks,callutheran.edu
California Maritime Academy,Vallejo,csum.edu
California State Polytechnic University Pomona,Broncos,Pomona,cpp.edu
California Polytechnic State University San Luis Obispo,Mustangs,San Luis Obispo,calpoly.edu
"California State University, Bakersfield",Roadrunners,Bakersfield,csub.edu
"California State University, Channel Islands",The Dolphins,Camarillo,csuci.edu
"California State University, Chico",Wildcats,Chico,csuchico.edu
"California State University, East Bay",Pioneers,Hayward,csueastbay.edu
"California State University, Fresno",Bulldogs,Fresno,fresnostate.edu
"California State University, Fullerton",Titans,Fullerton,fullerton.edu
"California State University, Humboldt",Lumberjacks,Arcata,humboldt.edu
"California State University, Long Beach",49ers,Dirtbags,Long Beach,csulb.edu
"California State University, Los Angeles",Golden Eagles,University Hills,calstatela.edu
